number,unknown,i,j,t,exporter,importer,log_trade,log_gdp_exp,log_gdp_imp,log_distance,polity_exp,polity_imp,cc
1,1,1,2,1,Algeria,Argentina,16.44561805,25.1531471,25.72780558,2.319076918,1,2,0
2,2,2,1,1,Argentina,Algeria,18.34772397,25.72780558,25.1531471,2.319076918,2,1,0
3,3,1,2,2,Algeria,Argentina,0,25.11347651,25.73676129,2.319076918,1,2,0
4,4,2,1,2,Argentina,Algeria,19.36648923,25.73676129,25.11347651,2.319076918,2,1,0
5,5,1,2,3,Algeria,Argentina,0,25.15849058,25.91515116,2.319076918,1,18,0
6,6,2,1,3,Argentina,Algeria,18.78677771,25.91515116,25.15849058,2.319076918,18,1,0
7,7,1,2,4,Algeria,Argentina,0,25.21190653,25.59920641,2.319076918,1,18,0
8,8,2,1,4,Argentina,Algeria,18.74653256,25.59920641,25.21190653,2.319076918,18,1,0
9,9,1,2,5,Algeria,Argentina,0,25.25221917,25.67197431,2.319076918,1,18,0
10,10,2,1,5,Argentina,Algeria,18.20159691,25.67197431,25.25221917,2.319076918,18,1,0
11,11,1,2,6,Algeria,Argentina,0,25.32926962,25.83852415,2.319076918,1,18,0
12,12,2,1,6,Argentina,Algeria,18.88510136,25.83852415,25.32926962,2.319076918,18,1,0
13,13,1,2,7,Algeria,Argentina,17.12837768,25.33944388,25.8305868,2.319076918,1,18,0
14,14,2,1,7,Argentina,Algeria,17.91930816,25.8305868,25.33944388,2.319076918,18,1,0
15,15,1,2,8,Algeria,Argentina,0,25.17792958,25.94288574,2.319076918,1,18,0
16,16,2,1,8,Argentina,Algeria,17.16948131,25.94288574,25.17792958,2.319076918,18,1,0
17,17,1,2,9,Algeria,Argentina,0,25.06982406,25.39023794,2.319076918,8,17,0
18,18,2,1,9,Argentina,Algeria,17.95569553,25.39023794,25.06982406,2.319076918,17,8,0
19,19,1,2,10,Algeria,Argentina,0,25.12615219,25.9477777,2.319076918,8,17,0
20,20,2,1,10,Argentina,Algeria,17.6772582,25.9477777,25.12615219,2.319076918,17,8,0
21,21,1,2,11,Algeria,Argentina,0,24.77989633,26.20482211,2.319076918,8,17,0
22,22,2,1,11,Argentina,Algeria,17.50843856,26.20482211,24.77989633,2.319076918,17,8,0
23,23,1,2,12,Algeria,Argentina,0,24.79934045,26.36186145,2.319076918,3,17,0
24,24,2,1,12,Argentina,Algeria,17.09590767,26.36186145,24.79934045,2.319076918,17,3,0
25,25,1,2,13,Algeria,Argentina,15.52822375,24.80866392,26.36670306,2.319076918,3,17,0
26,26,2,1,13,Argentina,Algeria,16.01081732,26.36670306,24.80866392,2.319076918,17,3,0
27,27,1,2,14,Algeria,Argentina,16.6286309,24.62286379,26.4224358,2.319076918,3,17,0
28,28,2,1,14,Argentina,Algeria,17.56736904,26.4224358,24.62286379,2.319076918,17,3,0
29,29,1,2,15,Algeria,Argentina,16.85926764,24.57831013,26.39837337,2.319076918,7,17,0
30,30,2,1,15,Argentina,Algeria,18.13756262,26.39837337,24.57831013,2.319076918,17,7,0
31,31,1,2,16,Algeria,Argentina,17.14190632,24.66219697,26.42211584,2.319076918,7,17,0
32,32,2,1,16,Argentina,Algeria,18.42777839,26.42211584,24.66219697,2.319076918,17,7,0
33,33,1,2,17,Algeria,Argentina,17.40531056,24.66274399,26.4738011,2.319076918,7,17,0
34,34,2,1,17,Argentina,Algeria,17.85372185,26.4738011,24.66274399,2.319076918,17,7,0
35,35,1,2,18,Algeria,Argentina,17.14297097,24.63679446,26.4786158,2.319076918,7,17,0
36,36,2,1,18,Argentina,Algeria,18.34619019,26.4786158,24.63679446,2.319076918,17,7,0
37,37,1,2,19,Algeria,Argentina,16.35421653,24.61915946,26.40530094,2.319076918,7,18,0
38,38,2,1,19,Argentina,Algeria,18.65912043,26.40530094,24.61915946,2.319076918,18,7,0
39,39,1,2,20,Algeria,Argentina,17.36914266,24.70294749,26.37224008,2.319076918,7,18,0
40,40,2,1,20,Argentina,Algeria,18.13799376,26.37224008,24.70294749,2.319076918,18,7,0
41,110,1,3,1,Algeria,Australia,0,25.1531471,26.6196578,2.831452592,1,20,0
42,210,3,1,1,Australia,Algeria,16.54510937,26.6196578,25.1531471,2.831452592,20,1,0
43,310,1,3,2,Algeria,Australia,16.5675693,25.11347651,26.51186557,2.831452592,1,20,0
44,41,3,1,2,Australia,Algeria,14.17099492,26.51186557,25.11347651,2.831452592,20,1,0
45,51,1,3,3,Algeria,Australia,0,25.15849058,26.48024642,2.831452592,1,20,0
46,61,3,1,3,Australia,Algeria,15.62473749,26.48024642,25.15849058,2.831452592,20,1,0
47,71,1,3,4,Algeria,Australia,0,25.21190653,26.51169726,2.831452592,1,20,0
48,81,3,1,4,Australia,Algeria,17.70105135,26.51169726,25.21190653,2.831452592,20,1,0
49,91,1,3,5,Algeria,Australia,0,25.25221917,26.34679338,2.831452592,1,20,0
50,101,3,1,5,Australia,Algeria,18.16851305,26.34679338,25.25221917,2.831452592,20,1,0
51,111,1,3,6,Algeria,Australia,7.130961602,25.32926962,26.37909174,2.831452592,1,20,0
52,121,3,1,6,Australia,Algeria,18.21533519,26.37909174,25.32926962,2.831452592,20,1,0
53,131,1,3,7,Algeria,Australia,12.94029457,25.33944388,26.51913628,2.831452592,1,20,0
54,141,3,1,7,Australia,Algeria,18.25050564,26.51913628,25.33944388,2.831452592,20,1,0
